r\c,c00,c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49
r00,#050510,#050510,#050510,#050510,#050510,#050510,#050510,#ffffff,#050510,#050510,#050510,#050510,#050510,#050510,#050510,#050510,#050510,#050510,#ffffff,#050510,#050510,#050510,#050510,#050510,#050510,#050510,#050510,#050510,#050510,#ffffff,#050510,#050510,#050510,#050510,#050510,#050510,#050510,#050510,#050510,#050510,#050510,#050510,#050510,#050510,#050510,#050510,#050510,#050510,#050510,#050510
r01,#070716,#070716,#ffffff,#070716,#070716,#070716,#070716,#070716,#070716,#ffffff,#070716,#070716,#070716,#070716,#070716,#070716,#070716,#070716,#070716,#070716,#070716,#070716,#070716,#070716,#ffffff,#070716,#070716,#070716,#070716,#070716,#070716,#ffffff,#070716,#070716,#fdf8c8,#fffad0,#fdf8c8,#ffffff,#070716,#070716,#070716,#070716,#070716,#070716,#070716,#070716,#070716,#070716,#070716,#070716
r02,#09091c,#09091c,#09091c,#09091c,#09091c,#09091c,#09091c,#09091c,#09091c,#09091c,#09091c,#09091c,#ffffff,#09091c,#09091c,#ffffff,#09091c,#09091c,#09091c,#09091c,#09091c,#09091c,#09091c,#09091c,#09091c,#09091c,#ffffff,#09091c,#09091c,#09091c,#09091c,#09091c,#09091c,#ffffff,#fffad0,#fffad0,#fffad0,#09091c,#09091c,#09091c,#09091c,#09091c,#09091c,#09091c,#09091c,#09091c,#09091c,#09091c,#09091c,#09091c
r03,#081806,#0b0b20,#0b0b20,#0b0b20,#081806,#ffffff,#0b0b20,#0b0b20,#0b0b20,#0b0b20,#0b0b20,#0b0b20,#0b0b20,#0b0b20,#0b0b20,#0b0b20,#081806,#0b0b20,#0b0b20,#0b0b20,#081806,#ffffff,#0b0b20,#0b0b20,#081806,#0b0b20,#0b0b20,#0b0b20,#081806,#0b0b20,#0b0b20,#0b0b20,#081806,#0b0b20,#fffad0,#fffad0,#fffad0,#0b0b20,#ffffff,#0b0b20,#0b0b20,#0b0b20,#0b0b20,#0b0b20,#0b0b20,#0b0b20,#0b0b20,#0b0b20,#0b0b20,#0b0b20
r04,#0a2008,#0a2008,#0d0d24,#0a2008,#0a2008,#0d0d24,#0a2008,#0a2008,#0d0d24,#0a2008,#0a2008,#0d0d24,#0d0d24,#0a2008,#0a2008,#0d0d24,#0a2008,#0a2008,#0d0d24,#0d0d24,#0a2008,#0a2008,#0d0d24,#0d0d24,#0a2008,#0a2008,#0d0d24,#0d0d24,#0a2008,#0a2008,#0d0d24,#0a2008,#0a2008,#0d0d24,#0a2008,#0a2008,#0d0d24,#0a2008,#0a2008,#0a2008,#0d0d24,#0d0d24,#0d0d24,#0d0d24,#0d0d24,#0d0d24,#0d0d24,#0d0d24,#0d0d24,#0d0d24
r05,#0a2008,#0a2008,#0b0b20,#0a2008,#0a2008,#0b0b20,#0a2008,#0a2008,#0b0b20,#0a2008,#0a2008,#0b0b20,#0b0b20,#0a2008,#0a2008,#0b0b20,#0a2008,#0a2008,#0b0b20,#0b0b20,#0a2008,#0a2008,#0b0b20,#0b0b20,#0a2008,#0a2008,#0b0b20,#0b0b20,#0a2008,#0a2008,#0b0b20,#0a2008,#0a2008,#0b0b20,#0a2008,#0a2008,#0b0b20,#0a2008,#0a2008,#0a2008,#0b0b20,#0b0b20,#0b0b20,#0b0b20,#0b0b20,#0b0b20,#0b0b20,#0b0b20,#0b0b20,#0b0b20
r06,#0d2b0d,#0d2b0d,#09091c,#0d2b0d,#0d2b0d,#09091c,#0d2b0d,#0d2b0d,#09091c,#0d2b0d,#0d2b0d,#09091c,#09091c,#0d2b0d,#0d2b0d,#09091c,#0d2b0d,#0d2b0d,#09091c,#09091c,#0d2b0d,#0d2b0d,#09091c,#09091c,#0d2b0d,#0d2b0d,#09091c,#09091c,#0d2b0d,#0d2b0d,#09091c,#0d2b0d,#0d2b0d,#09091c,#0d2b0d,#0d2b0d,#09091c,#0d2b0d,#0d2b0d,#0d2b0d,#09091c,#09091c,#09091c,#09091c,#09091c,#09091c,#09091c,#09091c,#09091c,#09091c
r07,#0d2b0d,#0d2b0d,#070716,#0d2b0d,#0d2b0d,#070716,#0d2b0d,#0d2b0d,#070716,#0d2b0d,#0d2b0d,#070716,#070716,#0d2b0d,#0d2b0d,#070716,#0d2b0d,#0d2b0d,#070716,#070716,#0d2b0d,#0d2b0d,#070716,#070716,#0d2b0d,#0d2b0d,#070716,#070716,#0d2b0d,#0d2b0d,#070716,#0d2b0d,#0d2b0d,#070716,#0d2b0d,#0d2b0d,#070716,#0d2b0d,#0d2b0d,#0d2b0d,#070716,#070716,#070716,#070716,#070716,#070716,#070716,#070716,#070716,#070716
r08,#0d2b0d,#0d2b0d,#050510,#0d2b0d,#0d2b0d,#050510,#0d2b0d,#0d2b0d,#050510,#0d2b0d,#0d2b0d,#88cc88,#88cc88,#0d2b0d,#0d2b0d,#050510,#0d2b0d,#0d2b0d,#050510,#050510,#0d2b0d,#0d2b0d,#050510,#050510,#0d2b0d,#0d2b0d,#88cc88,#88cc88,#0d2b0d,#0d2b0d,#050510,#0d2b0d,#0d2b0d,#050510,#0d2b0d,#0d2b0d,#050510,#0d2b0d,#0d2b0d,#0d2b0d,#050510,#050510,#050510,#050510,#050510,#050510,#050510,#050510,#050510,#050510
r09,#180d00,#180d00,#040410,#180d00,#180d00,#040410,#180d00,#180d00,#040410,#180d00,#180d00,#1a2a1a,#1a2a1a,#180d00,#180d00,#040410,#180d00,#180d00,#040410,#040410,#180d00,#180d00,#040410,#040410,#180d00,#180d00,#1a2a1a,#1a2a1a,#180d00,#180d00,#040410,#180d00,#180d00,#040410,#180d00,#180d00,#040410,#180d00,#180d00,#180d00,#040410,#040410,#040410,#040410,#040410,#040410,#040410,#040410,#040410,#040410
r10,#180d00,#180d00,#0d1a05,#180d00,#180d00,#0d1a05,#180d00,#180d00,#0d1a05,#180d00,#180d00,#1a2a1a,#1a2a1a,#180d00,#180d00,#0d1a05,#180d00,#180d00,#0d1a05,#0d1a05,#180d00,#180d00,#0d1a05,#0d1a05,#180d00,#180d00,#1a2a1a,#1a2a1a,#180d00,#180d00,#0d1a05,#180d00,#180d00,#0d1a05,#180d00,#180d00,#0d1a05,#180d00,#180d00,#180d00,#0d1a05,#0d1a05,#0d1a05,#0d1a05,#0d1a05,#0d1a05,#0d1a05,#0d1a05,#0d1a05,#0d1a05
r11,#180d00,#180d00,#0f2006,#180d00,#180d00,#0f2006,#180d00,#180d00,#0f2006,#180d00,#180d00,#1a2a1a,#1a2a1a,#180d00,#180d00,#0f2006,#180d00,#180d00,#0f2006,#0f2006,#180d00,#180d00,#0f2006,#0f2006,#180d00,#180d00,#1a2a1a,#1a2a1a,#180d00,#180d00,#0f2006,#180d00,#180d00,#0f2006,#180d00,#180d00,#0f2006,#180d00,#180d00,#180d00,#0f2006,#0f2006,#0f2006,#0f2006,#0f2006,#0f2006,#0f2006,#0f2006,#0f2006,#0f2006
r12,#112408,#112408,#112408,#112408,#112408,#112408,#112408,#112408,#112408,#112408,#112408,#112408,#112408,#112408,#112408,#112408,#112408,#112408,#112408,#112408,#112408,#112408,#112408,#112408,#112408,#112408,#112408,#112408,#112408,#112408,#112408,#112408,#112408,#112408,#112408,#112408,#112408,#112408,#112408,#112408,#112408,#112408,#112408,#112408,#112408,#112408,#112408,#112408,#112408,#112408
r13,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808
r14,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808,#132808
r15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
